Abies,eg,Evergreen
Acer saccharum,sg,Summergreen
Alnus,sg,Summergreen
Amaranthaceae undiff.,uk,Unknown
Ambrosia,ol,Openland
Betula,sg,Summergreen
Ericales,eg,Evergreen
Fraxinus americana-type,sg,Summergreen
Fraxinus nigra,sg,Summergreen
Humulus,ol,Openland
Ilex/Nemopanthus,eg,Evergreen
Larix,sg,Summergreen
Ostrya/Carpinus,sg,Summergreen
Picea,eg,Evergreen
Pinus banksiana/P. resinosa,eg,Evergreen
Pinus strobus,eg,Evergreen
Poaceae,ol,Openland
Populus,sg,Summergreen
Quercus,sg,Summergreen
Typha latifolia,ol,Openland
Asteroideae undiff.,uk,Unknown
Carya,sg,Summergreen
Fagus,sg,Summergreen
Juglans nigra,sg,Summergreen
Plantago,ol,Openland
Salix,sg,Summergreen
Tsuga,eg,Evergreen
Ulmus,sg,Summergreen
Cyperaceae,ol,Openland
Rumex,ol,Openland
Acer rubrum,sg,Summergreen
Artemisia,ol,Openland
Galium,ol,Openland
Ephedra nevadensis-type,eg,Evergreen
Arceuthobium,uk,Unknown
Menyanthes trifoliata,ol,Openland
Platanus,sg,Summergreen
Tilia,sg,Summergreen
Corylus,sg,Summergreen
Juglans cinerea,sg,Summergreen
Pinus undiff.,uk,Unknown
Sarcobatus vermiculatus,ol,Openland
Cupressaceae,eg,Evergreen
Iva annua,ol,Openland
Myrica,sg,Summergreen
Sparganium-type,ol,Openland
Thalictrum,ol,Openland
Rosaceae,ol,Openland
Cyclachaena xanthiifolia,ol,Openland
Apiaceae,ol,Openland
Ericaceae,eg,Evergreen
Nuphar,ol,Openland
Pinus,eg,Evergreen
Cornus,sg,Summergreen
Asteraceae undiff.,uk,Unknown
Amaranthaceae,ol,Openland
Onagraceae,ol,Openland
Ambrosia-type,ol,Openland
Shepherdia canadensis,sg,Summergreen
Caryophyllaceae,ol,Openland
Dryas-type,ol,Openland
Ranunculaceae,ol,Openland
Alnus incana-type,sg,Summergreen
Alnus viridis-type,sg,Summergreen
Pinus subg. Pinus,eg,Evergreen
Pinus subg. Strobus,eg,Evergreen
Alnus undiff.,uk,Unknown
Ranunculus,ol,Openland
Potamogetonaceae,ol,Openland
Rubus,ol,Openland
Fraxinus,sg,Summergreen
Fabaceae,ol,Openland
Acer negundo,sg,Summergreen
Brassicaceae,ol,Openland
Dalea candida-type,sg,Summergreen
Myriophyllum,ol,Openland
Poaceae undiff.,uk,Unknown
Vitis,sg,Summergreen
Zea mays,ol,Openland
Morus,sg,Summergreen
Celtis,sg,Summergreen
Amorpha,sg,Summergreen
Dalea purpurea,sg,Summergreen
Xanthium,ol,Openland
Cichorioideae,ol,Openland
Castanea,sg,Summergreen
Lemna,ol,Openland
Ephedra torreyana-type,eg,Evergreen
Sagittaria,ol,Openland
Persicaria maculosa-type,ol,Openland
Alnus incana,sg,Summergreen
Alnus viridis,sg,Summergreen
Fabaceae undiff.,uk,Unknown
Fraxinus undiff.,uk,Unknown
Rosaceae undiff.,uk,Unknown
Acer undiff.,uk,Unknown
Fraxinus nigra-type,sg,Summergreen
Juniperus/Thuja,eg,Evergreen
Polygonaceae undiff.,uk,Unknown
Dalea,sg,Summergreen
Populus balsamifera,sg,Summergreen
Sanguisorba canadensis,ol,Openland
Fraxinus pennsylvanica,sg,Summergreen
Urtica-type,ol,Openland
Euphorbia,ol,Openland
Ephedra,eg,Evergreen
Saxifragaceae,ol,Openland
Shepherdia,sg,Summergreen
Nyssa,sg,Summergreen
Potentilla,ol,Openland
Asteraceae,ol,Openland
Fraxinus americana,sg,Summergreen
Acer,sg,Summergreen
Angiospermae undiff. (herbs),uk,Unknown
Acer sp.,sg,Summergreen
Malvaceae,ol,Openland
Juglans,sg,Summergreen
Lamiaceae,ol,Openland
Liliaceae,ol,Openland
Sparganium,ol,Openland
Potamogeton,ol,Openland
Ceanothus,sg,Summergreen
Alnus viridis subsp. crispa,sg,Summergreen
Sarcobatus,ol,Openland
Polygonum,ol,Openland
Ribes-type,sg,Summergreen
Drosera,ol,Openland
Spermatophyta undiff. (trees),uk,Unknown
Liquidambar,sg,Summergreen
Ilex,eg,Evergreen
Epilobium,ol,Openland
Polygonum sensu lato,ol,Openland
Urtica,ol,Openland
Abies balsamea,eg,Evergreen
Acer saccharinum-type,sg,Summergreen
Celtis occidentalis,sg,Summergreen
Chenopodium-type,ol,Openland
Fraxinus pennsylvanica-type,sg,Summergreen
Iva annua-type,ol,Openland
Juglans cf. J. cinerea,sg,Summergreen
Juglans cf. J. nigra,sg,Summergreen
Laportea-type,ol,Openland
Myriophyllum sibiricum-type,ol,Openland
Nymphaea,ol,Openland
Populus tremuloides-type,sg,Summergreen
Rhus/Toxicodendron cf. T. vernix,sg,Summergreen
Tilia americana,sg,Summergreen
Utricularia,ol,Openland
Humulus lupulus,ol,Openland
Larix laricina,sg,Summergreen
Chamaesyce,ol,Openland
Lycopus-type,ol,Openland
Rugubivesiculites,uk,Unknown
Rumex cf. R. salicifolius,ol,Openland
Taxus canadensis,eg,Evergreen
Aquilapollenites,uk,Unknown
Morus rubra,sg,Summergreen
Scutellaria cf. S. galericulata,ol,Openland
Scheuchzeria palustris,ol,Openland
Boraginaceae cf. Mertensia paniculata,ol,Openland
Cyclachaena xanthiifolia-type,ol,Openland
Ranunculus-type,ol,Openland
Retitetradites monocolpatus,uk,Unknown
Stuckenia,ol,Openland
Retitricolpites prolatus,uk,Unknown
cf. Clavabivesiculites pannosus,uk,Unknown
cf. Verrumonocolpites conspicuus,uk,Unknown
Calla palustris,ol,Openland
Verrumonoporites verrucatus,uk,Unknown
Brasenia schreberi,ol,Openland
Rhamnus,sg,Summergreen
Rhus,sg,Summergreen
Acer saccharinum,sg,Summergreen
Fraxinus pennsylvanica/F. americana-type,sg,Summergreen
Typha/Sparganium,ol,Openland
Dryas,ol,Openland
Oxyria digyna,ol,Openland
Picea cf. P. glauca,eg,Evergreen
Picea cf. P. mariana,eg,Evergreen
Picea undiff.,uk,Unknown
Ranunculaceae undiff.,uk,Unknown
Cornus canadensis,sg,Summergreen
Caryophyllaceae undiff.,uk,Unknown
Stellaria,ol,Openland
Rubus chamaemorus,ol,Openland
Saxifraga,ol,Openland
Acer spicatum,sg,Summergreen
Carya ovata,sg,Summergreen
Corylus cornuta,sg,Summergreen
Juniperus communis/Thuja occidentalis-type,eg,Evergreen
Juniperus-type,eg,Evergreen
Myrica gale,sg,Summergreen
Picea mariana-type,eg,Evergreen
Pinus banksiana-type,eg,Evergreen
Populus balsamifera-type,sg,Summergreen
Prunus pensylvanica,sg,Summergreen
Rumex-type,ol,Openland
Salix undiff.,uk,Unknown
Castanea dentata,sg,Summergreen
Tsuga canadensis,eg,Evergreen
cf. Callitriche,ol,Openland
Picea glauca-type,eg,Evergreen
Taxus,eg,Evergreen
Typha/Sparganium undiff.,uk,Unknown
Acer pensylvanicum,sg,Summergreen
Sambucus,sg,Summergreen
Typha angustifolia,ol,Openland
Viburnum opulus,sg,Summergreen
Arceuthobium pusillum,uk,Unknown
Viburnum edule,sg,Summergreen
Salix vestita-type,sg,Summergreen
Typha undiff.,uk,Unknown
Potamogetonaceae/Triglochin undiff.,uk,Unknown
Saxifraga cernua-type,ol,Openland
cf. Oxyria digyna,ol,Openland
Salix herbacea-type,sg,Summergreen
Populus grandidentata-type,sg,Summergreen
Rosaceae cf. Prunus serotina,ol,Openland
Saxifraga oppositifolia-type,ol,Openland
Oxytropis maydelliana-type,ol,Openland
Eriocaulon,ol,Openland
Prunus undiff.,uk,Unknown
Campanula-type,ol,Openland
Koenigia islandica,ol,Openland
Armeria maritima,ol,Openland
cf. Sarcobatus vermiculatus,ol,Openland
Polygonum sensu lato undiff.,uk,Unknown
Bistorta vivipara,ol,Openland
Rhamnus/Vitis,sg,Summergreen
Viburnum nudum,sg,Summergreen
Juniperus,eg,Evergreen
Opuntia,ol,Openland
Eriogonum,ol,Openland
Campanulaceae,ol,Openland
Rhamnaceae,sg,Summergreen
Elaeagnus commutata,sg,Summergreen
Viburnum,sg,Summergreen
cf. Diapensia lapponica,ol,Openland
Ostrya,sg,Summergreen
Potentilla-type,ol,Openland
Saxifraga oppositifolia,ol,Openland
Saxifragaceae undiff.,uk,Unknown
Papaver,ol,Openland
